Идентификатор объекта;Адрес недвижимости;Тип недвижимости;Площадь объекта;Цена;Количество комнат;Состояние объекта;Контактные данные собственника;Статус объекта;Дата добавления информации
6297;клх Новый Уренгой, бул. Советской Армии, д. 219 к. 7/5, 679963;земельный участок;95;14263713;1;новостройка;8 (101) 446-0792;продается;27.10.2022
6298;с. Псебай, пр. Пожарского, д. 68 к. 828, 305972;земельный участок;106;3875969;2;жилое;84158610365;продается;26.07.2022
6299;клх Шумиха, пер. Путевой, д. 843 к. 135, 385144;земельный участок;101;19381111;3;жилое;8 (733) 616-6910;сдается;18.09.2020
6300;г. Кизляр, наб. Грибоедова, д. 29 стр. 5/5, 405657;земельный участок;62;5300983;2;новостройка;8 (838) 212-6994;сдается;22.12.2022
6301;д. Бреды, ул. Куйбышева, д. 920 стр. 7/5, 472329;квартира;136;1210320;5;новостройка;8 (740) 884-65-98;зарезервирован;30.04.2021
6302;к. Киржач, ул. Дальняя, д. 5/6, 704029;земельный участок;154;19939335;1;жилое;79 647 328 849;сдается;01.04.2021
6303;ст. Воскресенск, пер. 50 лет Октября, д. 800, 797842;земельный участок;124;13095090;3;новостройка;8 380 403 55 50;продается;12.07.2022
6304;г. Ижевск, наб. Большевистская, д. 4 к. 1, 246898;квартира;71;10311299;2;новостройка;70 440 993 690;продается;07.04.2023
6305;к. Старая Русса, пр. Маркса Карла, д. 7/1, 177788;квартира;54;19720774;5;жилое;89 044 368 335;зарезервирован;19.06.2023
6306;клх Прохладный, ул. Славянская, д. 364, 314781;квартира;107;2694171;4;требует ремонта;+7 (651) 279-04-47;продается;11.06.2022
6307;ст. Катав-Ивановск, алл. Щорса, д. 472, 163189;дом;21;2703104;2;новостройка;71 201 834 528;зарезервирован;14.09.2020
6308;клх Объячево, алл. Стахановская, д. 78, 985229;дом;81;17011308;3;требует ремонта;72 999 569 887;сдается;17.03.2022
6309;ст. Саянск, ул. Ломоносова, д. 163, 503148;земельный участок;125;19906602;4;новостройка;87 570 746 806;сдается;09.01.2021
6310;ст. Богучар, пер. Больничный, д. 1 к. 32, 910055;земельный участок;118;8052677;5;жилое;8 (552) 135-9988;продается;19.06.2021
6311;ст. Воронеж, наб. Димитрова, д. 4, 525149;земельный участок;87;7710613;4;новостройка;87 795 641 101;зарезервирован;04.07.2022
6312;д. Усинск, бул. Пограничный, д. 23 стр. 69, 628882;дом;171;12911985;5;жилое;86 207 842 525;продается;22.09.2022
6313;к. Бавлы, алл. Герцена, д. 8/9, 362297;квартира;179;6394406;4;жилое;79186459065;продается;11.10.2022
6314;д. Щелково, наб. Крымская, д. 138 стр. 1/9, 095447;квартира;158;3818437;1;жилое;8 (432) 149-0677;зарезервирован;25.07.2021
6315;д. Калевала, ул. Есенина, д. 6/7, 824377;дом;45;15701560;5;новостройка;+7 (436) 424-27-78;сдается;24.08.2021
6316;п. Холмогоры, пер. Герцена, д. 10, 836426;земельный участок;74;8821352;4;жилое;+7 461 970 79 18;продается;08.08.2022
6317;г. Волоколамск, бул. Нижний, д. 1/8 к. 17, 628025;квартира;101;17828476;5;жилое;74 836 894 034;сдается;24.04.2023
6318;г. Кизилюрт, ул. Новая, д. 8 стр. 6/8, 854969;дом;87;12095957;4;новостройка;8 824 918 57 12;продается;04.02.2023
6319;с. Ессентуки, пер. Донской, д. 62, 224076;земельный участок;29;6357141;4;требует ремонта;83 621 151 812;зарезервирован;24.05.2022
6320;д. Каспийск, бул. Подлесный, д. 3 к. 4, 445256;земельный участок;29;4684222;3;требует ремонта;+7 676 015 48 51;сдается;10.01.2022
6321;г. Тосно, наб. Кольцова, д. 9 к. 902, 679336;квартира;122;3562363;2;требует ремонта;74 794 676 463;продается;29.11.2020
6322;д. Баксан, алл. Гагарина, д. 129, 452090;дом;108;7818925;4;новостройка;8 (980) 049-0705;продается;22.02.2021
6323;с. Муром, бул. Толбухина, д. 323 к. 4/1, 032221;земельный участок;127;14387886;2;новостройка;73050611750;продается;10.08.2020
6324;клх Объячево, ш. Калинина, д. 23 к. 915, 024411;земельный участок;138;16600620;4;жилое;8 (099) 025-4262;сдается;09.11.2022
6325;к. Заводоуковск, пр. Калинина, д. 1/3, 402862;земельный участок;104;9138669;3;жилое;8 (809) 496-9916;продается;11.03.2021
6326;г. Нарьян-Мар, пр. Шоссейный, д. 5/4 стр. 24, 730047;земельный участок;122;2827483;4;жилое;8 (467) 747-4049;продается;02.02.2023
6327;клх Красноуральск, бул. Безымянный, д. 4, 976314;дом;192;7195459;5;жилое;8 (729) 560-30-92;зарезервирован;31.12.2022
6328;клх Тайшет, алл. Сосновая, д. 8 к. 7/4, 722495;земельный участок;69;10153194;5;требует ремонта;+7 438 509 38 02;продается;18.08.2022
6329;с. Казань, алл. Димитрова, д. 3 к. 9/3, 729477;квартира;82;3705931;5;требует ремонта;8 690 684 64 07;зарезервирован;25.03.2021
6330;п. Бавлы, бул. Азовский, д. 4, 613492;квартира;71;19550855;1;требует ремонта;77 530 344 982;сдается;17.02.2023
6331;клх Каменномостский, алл. Ватутина, д. 888 к. 5/1, 858999;дом;66;2100613;1;новостройка;+7 970 660 53 66;зарезервирован;01.08.2022
6332;г. Ржев, пр. Новосельский, д. 763, 665563;квартира;99;8864166;3;жилое;8 894 227 95 32;сдается;05.03.2022
6333;клх Апшеронск, ул. Огородная, д. 4 к. 3, 850499;дом;31;15038605;4;новостройка;83314196418;зарезервирован;31.03.2023
6334;к. Нурлат, бул. Димитрова, д. 7/3 стр. 297, 060452;квартира;168;1129634;3;требует ремонта;8 618 349 19 66;сдается;30.12.2022
6335;д. Наро-Фоминск, пр. Морозова, д. 90 к. 88, 730404;дом;126;5170601;5;новостройка;+7 099 058 23 88;зарезервирован;14.12.2022
6336;с. Юрьев-Польский, бул. Нагорный, д. 7 к. 276, 377445;земельный участок;51;8162547;1;новостройка;8 (904) 763-37-07;зарезервирован;30.12.2022
6337;п. Уварово, пер. Радужный, д. 518 к. 934, 296652;квартира;68;18204793;4;требует ремонта;8 961 295 38 80;продается;10.11.2020
6338;с. Суздаль, ул. Мая 1, д. 677 стр. 756, 075281;дом;117;17480880;1;требует ремонта;82563630127;сдается;09.10.2020
6339;п. Нарым, наб. Подстанция, д. 5, 244797;квартира;24;7853932;4;требует ремонта;+7 (193) 764-5451;зарезервирован;11.11.2022
6340;ст. Магадан, наб. Черемушки, д. 31 к. 4/1, 933315;квартира;175;11270067;3;жилое;8 416 813 18 19;продается;29.11.2020
6341;клх Красноярск, наб. Бригадная, д. 20, 185529;квартира;41;10904787;1;новостройка;8 041 123 51 25;продается;10.07.2023
6342;к. Боровск, ул. Громова, д. 4 стр. 22, 345884;квартира;68;5197212;4;требует ремонта;+7 (167) 627-1497;сдается;02.04.2021
6343;с. Псебай, бул. Магистральный, д. 7/4, 581780;дом;23;3155835;3;новостройка;86963684369;сдается;25.02.2023
6344;с. Светлогорск (Калин.), пр. Панфилова, д. 6 стр. 81, 665831;квартира;196;4324995;4;жилое;82724947127;продается;26.04.2023
6345;клх Шадринск, пер. Максима Горького, д. 9/8, 838244;дом;103;5412408;2;новостройка;+7 383 867 52 65;продается;12.10.2020
6346;с. Советский, пер. Станционный, д. 9 к. 1, 128414;земельный участок;112;1823202;1;требует ремонта;+7 (377) 994-65-82;зарезервирован;13.11.2020
6347;с. Каспийск, пр. Надежды, д. 903, 588652;квартира;153;15914775;3;жилое;8 (199) 216-9181;сдается;13.07.2022
6348;г. Череповец, наб. Ростовская, д. 5 к. 5/1, 835882;квартира;100;1574838;5;новостройка;76 436 941 697;продается;04.04.2023
6349;п. Кострома, алл. Белорусская, д. 4 к. 3, 904396;квартира;59;7142865;4;требует ремонта;89 041 482 299;зарезервирован;15.07.2022
6350;ст. Хасавюрт, бул. Энгельса, д. 3/9 к. 73, 437559;квартира;123;6696312;3;жилое;+7 (046) 352-8602;зарезервирован;11.11.2022
6351;д. Листвянка (Иркут.), пр. Овражный, д. 6, 826608;дом;60;1239234;3;жилое;8 (732) 307-23-07;зарезервирован;12.06.2023
6352;к. Россошь, ул. Енисейская, д. 2/1 к. 4, 732242;квартира;147;9914168;3;требует ремонта;85 004 361 822;зарезервирован;04.03.2021
6353;клх Киржач, алл. Крайняя, д. 2, 281679;дом;114;16918930;4;требует ремонта;81126846517;продается;11.10.2022
6354;к. Ноглики, ул. Севастопольская, д. 827 стр. 75, 177092;квартира;71;8244498;5;требует ремонта;75345069641;продается;26.03.2022
6355;с. Арзамас, ш. Пионерское, д. 83 стр. 9, 926218;квартира;102;14289866;2;новостройка;8 (810) 025-23-66;продается;04.07.2022
6356;ст. Богучар, бул. Угловой, д. 9 к. 167, 333846;дом;184;16895876;3;новостройка;76717666603;продается;16.02.2022
6357;клх Троицк (Моск.), алл. Советская, д. 2/7, 582781;квартира;47;6148833;2;новостройка;+7 524 538 59 11;зарезервирован;03.08.2020
6358;г. Сергиев Посад, пр. Сенной, д. 782 стр. 1/4, 457560;квартира;91;10005450;5;жилое;72 503 072 683;зарезервирован;07.07.2023
6359;с. Североморск, пр. Литейный, д. 2 стр. 2, 667931;квартира;21;10698477;5;требует ремонта;83 981 006 180;продается;30.07.2021
6360;с. Великие Луки, ул. Московская, д. 19, 809276;дом;21;14747856;1;новостройка;82426245639;зарезервирован;01.02.2023
6361;с. Новгород Великий, пр. Покровский, д. 5, 937076;дом;124;17341877;4;жилое;8 (967) 834-86-95;продается;27.11.2020
6362;с. Ноябрьск, пр. Астраханский, д. 9 стр. 941, 534717;дом;84;4816333;2;жилое;89335472818;зарезервирован;03.03.2023
6363;г. Подольск, алл. Буденного, д. 2/6 к. 14, 053038;квартира;153;13183217;3;требует ремонта;8 (088) 847-7246;продается;07.12.2021
6364;ст. Верхний Уфалей, ш. Магистральное, д. 59 к. 178, 213662;земельный участок;135;10880819;1;новостройка;86089547374;зарезервирован;12.11.2021
6365;г. Мыс Шмидта, наб. Кирпичная, д. 627 стр. 729, 785455;квартира;69;11668210;2;жилое;76887360734;зарезервирован;02.07.2023
6366;с. Завьялиха, наб. Заречная, д. 6/1, 593689;земельный участок;39;1714320;4;требует ремонта;81399329956;сдается;23.03.2022
6367;г. Усинск, алл. Павлова, д. 5 стр. 393, 779978;земельный участок;88;12093530;2;жилое;8 (898) 491-99-49;зарезервирован;02.11.2020
6368;д. Куртамыш, наб. Тихая, д. 5 к. 3/8, 380651;квартира;128;1924488;4;требует ремонта;8 (338) 400-96-21;зарезервирован;09.02.2022
6369;к. Чебаркуль, пр. Лунный, д. 663, 822348;дом;106;5663663;2;жилое;+7 (888) 994-5085;продается;24.11.2020
6370;п. Радужный, ул. Советская, д. 847, 537510;дом;122;7236178;4;новостройка;+7 488 128 39 08;зарезервирован;03.05.2021
6371;г. Дагомыс, алл. Крылова, д. 3/1 стр. 3/2, 658541;квартира;21;1916806;4;новостройка;73832238916;зарезервирован;17.10.2021
6372;к. Амурск, наб. Жукова, д. 587 к. 3/5, 400814;земельный участок;183;6790922;1;требует ремонта;+7 008 591 82 06;продается;27.01.2022
6373;с. Чокурдах, пр. Краснофлотский, д. 5/7 к. 6, 815512;квартира;147;19194236;3;жилое;8 387 150 99 19;зарезервирован;08.10.2020
6374;п. Тырныауз, бул. Песчаный, д. 46 стр. 22, 619072;земельный участок;158;11564957;2;жилое;+7 (993) 337-0221;продается;12.06.2023
6375;д. Березники, пр. Депутатский, д. 78 к. 69, 696698;квартира;20;5416897;5;жилое;8 (582) 648-92-00;зарезервирован;11.08.2021
6376;г. Ижевск, пер. Островского, д. 64 к. 2/4, 418978;квартира;179;17355233;4;жилое;+7 (580) 372-68-19;зарезервирован;24.02.2023
6377;п. Котельнич, наб. Кирова, д. 7 к. 2/7, 195349;дом;76;18382383;2;жилое;+7 (424) 613-03-49;зарезервирован;08.12.2020
6378;клх Азов (Рост.), пр. Почтовый, д. 92 стр. 8/8, 867130;земельный участок;112;9338174;2;жилое;+7 (233) 341-06-46;сдается;06.04.2022
6379;с. Иваново, пр. Павлова, д. 21 к. 82, 551510;дом;124;17865790;1;жилое;78 941 814 126;сдается;15.06.2021
6380;с. Урус-Мартан, ул. Сосновая, д. 15, 033821;квартира;166;1593010;5;новостройка;74116515038;зарезервирован;25.03.2023
6381;д. Ардон, ш. Добролюбова, д. 41 к. 197, 867521;земельный участок;177;2241101;5;требует ремонта;+7 (362) 783-7445;зарезервирован;02.10.2020
6382;с. Красновишерск, пер. Солнечный, д. 35, 448175;земельный участок;70;2273810;1;новостройка;83923825197;продается;01.09.2021
6383;клх Каспийск, ул. Карла Либкнехта, д. 6, 943811;квартира;49;5262442;2;новостройка;73757804858;зарезервирован;12.06.2022
6384;с. Славянск-на-Кубани, ш. Подлесное, д. 275, 214607;дом;71;5282560;5;требует ремонта;8 953 956 49 19;сдается;11.01.2023
6385;клх Глазов, пер. Свердлова, д. 2, 468437;квартира;145;17071135;2;требует ремонта;+7 (018) 667-9059;зарезервирован;21.07.2023
6386;ст. Тында, наб. Энтузиастов, д. 66 стр. 6/6, 159176;дом;160;17851755;2;новостройка;+7 (907) 697-97-43;зарезервирован;20.12.2021
6387;с. Артем, ш. Васильковое, д. 55, 417891;земельный участок;139;4328557;5;жилое;81443179305;зарезервирован;27.03.2023
6388;г. Гатчина, алл. Большевистская, д. 1/4 к. 15, 968125;земельный участок;72;17599953;3;жилое;8 078 683 75 35;продается;23.10.2020
6389;к. Белгород, бул. 30 лет Победы, д. 22 к. 60, 173410;квартира;113;19657353;1;жилое;80560454997;зарезервирован;21.05.2021
6390;к. Елец, ул. 50 лет ВЛКСМ, д. 997, 493907;земельный участок;72;19847690;2;жилое;81036198818;сдается;24.01.2021
6391;г. Усть-Джегута, пр. Колхозный, д. 8/2 к. 40, 419635;земельный участок;157;5723157;2;требует ремонта;83 220 306 849;продается;06.06.2023
6392;с. Пушкинские Горы, ш. Красина, д. 355 стр. 4/4, 406036;квартира;105;6666418;1;новостройка;8 003 834 42 66;сдается;01.01.2023
6393;д. Касимов, бул. Гайдара, д. 4 стр. 238, 571033;квартира;49;14758783;5;новостройка;8 (192) 883-3427;сдается;05.03.2021
6394;д. Бузулук, ул. Мелиораторов, д. 79 к. 6, 188106;земельный участок;40;6136849;1;новостройка;70 515 277 277;зарезервирован;06.07.2023
6395;п. Ардон, бул. Р.Люксембург, д. 8/6 к. 1/4, 839107;квартира;143;17311348;3;жилое;+7 (779) 855-7425;зарезервирован;21.09.2020
6396;д. Валаам, пр. Сельский, д. 47 к. 5/4, 463310;дом;70;5235491;2;требует ремонта;8 (575) 811-0838;сдается;13.06.2021
6397;г. Старая Русса, пер. Юбилейный, д. 434, 863943;дом;163;1575713;1;жилое;8 043 918 99 97;зарезервирован;20.12.2021
6398;г. Новороссийка, ул. Рылеева, д. 4 к. 8, 345038;дом;172;3770260;1;требует ремонта;76 215 206 246;продается;14.11.2020
6399;с. Североуральск, ш. Глинки, д. 704, 639573;квартира;142;18168440;4;жилое;+7 (685) 462-69-75;зарезервирован;15.01.2021
6400;клх Адлер, алл. Л.Толстого, д. 243 стр. 6/8, 035059;квартира;143;6159445;5;новостройка;86 971 522 780;сдается;31.05.2022
6401;с. Домбай, пр. Полярный, д. 506, 120076;дом;195;16715606;5;новостройка;85 545 107 862;зарезервирован;24.10.2020
6402;п. Абинск, алл. Чкалова, д. 2, 682404;квартира;165;13537332;3;жилое;75741310684;сдается;12.09.2020
6403;ст. Змеиногорск, бул. Лесозаводский, д. 8/2, 807484;дом;30;3143027;4;требует ремонта;8 185 337 32 07;зарезервирован;27.12.2021
6404;к. Голицыно, бул. Репина, д. 6/2 к. 9, 832746;земельный участок;115;12141057;5;новостройка;+7 (601) 257-83-93;зарезервирован;11.08.2020
6405;п. Новороссийка, пер. Фабричный, д. 2 к. 9/6, 577575;дом;197;8305889;1;жилое;85997849094;продается;20.04.2021
6406;г. Мыс Шмидта, пер. Разина, д. 113, 415453;квартира;147;3042503;5;требует ремонта;75057915597;зарезервирован;05.11.2020
6407;клх Верхоянск, ул. Весенняя, д. 10 стр. 3/6, 986477;дом;26;1251619;1;новостройка;+7 (635) 953-55-07;сдается;19.03.2021
6408;д. Александровск-Сахалинский, бул. Детский, д. 3/3, 351484;квартира;41;2901356;4;новостройка;8 (383) 360-82-98;зарезервирован;15.11.2021
6409;к. Кропоткин (Краснод.), бул. Сельский, д. 6/1, 875072;квартира;20;4686149;4;требует ремонта;71 786 631 637;зарезервирован;08.07.2023
6410;г. Луга, пр. Энергетический, д. 4/4 стр. 690, 164316;дом;109;12340186;2;требует ремонта;8 901 413 59 48;зарезервирован;27.03.2022
6411;г. Сибай, ш. Поперечное, д. 2/7, 821672;земельный участок;163;4116158;5;новостройка;8 751 882 68 05;зарезервирован;06.03.2022
6412;клх Соловки, пр. Придорожный, д. 2/8 стр. 2, 301721;квартира;69;17462263;3;требует ремонта;8 (033) 922-8891;сдается;10.02.2023
6413;с. Коломна, ул. 40 лет Победы, д. 2 стр. 165, 303429;земельный участок;80;14020913;5;жилое;+7 (075) 808-7637;продается;17.10.2022
6414;д. Саратов, бул. Торговый, д. 93 к. 9/9, 702194;квартира;197;16682928;3;новостройка;+7 (216) 908-36-66;зарезервирован;20.12.2022
6415;клх Печора, пер. Строителей, д. 2 стр. 7/8, 459951;квартира;86;6765364;1;жилое;+7 (750) 165-7218;зарезервирован;25.12.2021
6416;клх Нефтегорск (Самар.), наб. Театральная, д. 1/1, 378098;квартира;87;10016442;2;жилое;+7 (864) 924-9294;сдается;27.10.2021
6417;с. Углегорск, пр. Труда, д. 341, 532963;квартира;33;11586736;5;жилое;+7 (462) 224-39-83;сдается;17.04.2022
6418;г. Ухта, пер. Фадеева, д. 959 к. 6/2, 007504;земельный участок;141;5931276;4;требует ремонта;8 528 554 00 54;зарезервирован;22.08.2021
6419;с. Невьянск, алл. Максима Горького, д. 4 стр. 5/9, 993226;квартира;88;17319207;3;требует ремонта;86 044 237 527;продается;20.11.2020
6420;клх Шелагонцы, пр. Кузнецова, д. 61, 530885;земельный участок;86;8880348;5;новостройка;82153440743;сдается;03.01.2022
6421;к. Тула, пр. 9 мая, д. 679 стр. 9/7, 995575;дом;135;15201436;2;жилое;89413634674;продается;21.02.2023
6422;с. Буйнакск, ул. Вольная, д. 7/9, 039471;земельный участок;75;11272446;2;новостройка;+7 (801) 019-46-71;продается;15.10.2021
6423;п. Новый Оскол, алл. Бригадная, д. 8, 067627;дом;94;5928056;3;жилое;73101389492;зарезервирован;20.02.2022
6424;г. Муром, пр. Цветочный, д. 6/8 к. 375, 058934;квартира;188;1964261;1;новостройка;89 056 849 020;сдается;19.01.2023
6425;г. Дубна, наб. Ударная, д. 583 стр. 5/2, 322033;земельный участок;40;17042681;4;жилое;89 153 689 921;продается;03.03.2021
6426;к. Щельяюр, наб. Щорса, д. 152 к. 83, 396721;дом;73;18413793;4;жилое;+7 (488) 041-4923;продается;26.06.2022
6427;д. Королев, бул. Восточный, д. 1/9, 909150;квартира;155;13973973;1;новостройка;72997222981;продается;23.08.2021
6428;с. Ростов, ш. Крупской, д. 98 стр. 2/6, 645410;дом;89;12536111;5;новостройка;8 (843) 898-7823;продается;12.01.2023
6429;с. Пушкин, ш. Дачное, д. 60, 024689;квартира;130;6882514;5;новостройка;8 (909) 272-9715;сдается;24.12.2021
6430;д. Диксон, ш. Калинина, д. 52, 477479;земельный участок;60;9411464;5;требует ремонта;8 (759) 631-4489;зарезервирован;23.07.2021
6431;клх Петухово, наб. Майская, д. 298 стр. 779, 808081;земельный участок;92;9111172;1;жилое;+7 429 266 07 21;зарезервирован;26.03.2022
6432;п. Благовещенск (Амур.), ш. Разина, д. 917, 094115;дом;85;8600475;1;новостройка;8 (383) 343-72-27;зарезервирован;29.06.2021
6433;с. Балашиха, бул. Маяковского, д. 459 стр. 95, 316808;квартира;183;3220080;5;новостройка;+7 165 458 90 39;продается;26.08.2020
6434;ст. Сухиничи, пер. Ручейный, д. 7 стр. 2/8, 613106;земельный участок;189;16896651;4;требует ремонта;+7 594 393 25 62;продается;05.02.2023
6435;д. Курильск, наб. Ясная, д. 3/1, 003709;квартира;105;6433152;4;требует ремонта;+7 (615) 597-2547;зарезервирован;19.06.2023
6436;п. Новороссийка, наб. Донская, д. 835 стр. 929, 179812;дом;43;8872913;3;жилое;76 690 978 945;зарезервирован;17.12.2020
6437;к. Красная Поляна, пер. Ключевой, д. 9/3, 239707;земельный участок;114;4693408;4;жилое;+7 (108) 575-50-85;сдается;30.08.2020
6438;ст. Кисловодск, ш. Кутузова, д. 97 к. 82, 656730;земельный участок;51;5283659;1;требует ремонта;+7 (263) 742-9492;продается;14.05.2021
6439;к. Кежма, наб. Молодежная, д. 3/7, 336464;дом;195;4361493;4;новостройка;+7 676 047 31 57;сдается;20.10.2020
6440;ст. Раменское, наб. Володарского, д. 3/9 к. 92, 439533;земельный участок;28;15567221;3;новостройка;70 072 414 297;зарезервирован;15.07.2023
6441;д. Мелеуз, пер. Толбухина, д. 86, 266671;квартира;64;5908458;2;новостройка;8 202 581 28 49;продается;28.06.2023
6442;ст. Орел, пр. Прибрежный, д. 3, 983551;квартира;167;2973048;2;жилое;8 093 261 48 06;продается;09.08.2022
6443;г. Сунтар, бул. Пролетарский, д. 800 к. 15, 171470;квартира;82;15018511;4;жилое;75116801601;зарезервирован;09.02.2021
6444;клх Самара, алл. Красных Партизан, д. 684 стр. 69, 711378;дом;59;9531315;3;жилое;74 611 066 926;продается;12.12.2020
6445;с. Усть-Илимск, ул. Волжская, д. 9/9, 601062;земельный участок;150;9768755;4;жилое;+7 137 577 03 82;сдается;27.08.2022
6446;к. Малая Вишера, пр. Абрикосовый, д. 8 стр. 1/3, 527684;квартира;181;6807043;1;требует ремонта;+7 (152) 517-6658;продается;29.08.2020
6447;к. Обоянь, пер. Линейный, д. 381 стр. 1, 561727;земельный участок;200;5532560;5;новостройка;79595004984;зарезервирован;19.09.2020
6448;д. Петрозаводск, пер. Комсомольский, д. 9 стр. 2, 014573;квартира;79;12317235;3;жилое;87310817409;зарезервирован;09.12.2021
6449;ст. Снежногорск (Мурм.), ул. Победа, д. 623, 296834;дом;163;2320879;1;новостройка;8 (932) 758-08-57;зарезервирован;14.10.2022
6450;клх Волоколамск, ш. Бульварное, д. 7, 722478;дом;93;13672082;1;жилое;84 013 045 859;сдается;22.06.2023
6451;клх Вилюйск, алл. Кузнечная, д. 3, 748061;дом;91;16401267;4;новостройка;72 690 652 987;продается;07.08.2022
6452;д. Городовиковск, наб. Железнодорожная, д. 547 к. 32, 512614;квартира;125;8617935;2;требует ремонта;+7 (604) 637-20-30;зарезервирован;05.03.2023
6453;ст. Яхрома, ш. Новгородское, д. 80, 230251;квартира;54;15128135;3;требует ремонта;8 (524) 319-9177;продается;23.09.2021
6454;клх Казань, ул. Мира, д. 99, 174724;квартира;59;17046643;3;требует ремонта;8 (494) 561-02-03;сдается;21.09.2021
6455;к. Яшалта, бул. Ставропольский, д. 89 к. 518, 362239;дом;49;12826584;2;новостройка;73185399158;зарезервирован;06.07.2022
6456;клх Ревда (Сверд.), алл. Ангарская, д. 7/5 к. 4/6, 964106;земельный участок;170;11570583;1;требует ремонта;8 (022) 158-4526;продается;19.09.2020
6457;д. Северодвинск, пр. Высокий, д. 4 к. 619, 101198;дом;125;17624135;1;новостройка;75770945928;сдается;07.11.2021
6458;к. Сладково, ш. Морозова, д. 7 стр. 20, 578576;земельный участок;63;7768274;5;требует ремонта;8 663 627 73 74;зарезервирован;05.06.2023
6459;к. Нефтекамск, пер. Западный, д. 940 к. 45, 089509;земельный участок;178;6274921;1;требует ремонта;+7 (817) 792-40-41;зарезервирован;18.05.2021
6460;с. Борзя, алл. Кирова, д. 856 стр. 54, 599735;квартира;27;10152596;5;жилое;75336835620;зарезервирован;25.09.2022
6461;с. Сосновый Бор, пер. Колхозный, д. 7/3, 973699;земельный участок;37;16413263;4;требует ремонта;8 250 690 78 40;зарезервирован;29.06.2021
6462;клх Белогорск (Амур.), ул. Красина, д. 77 к. 772, 045142;квартира;158;15327586;1;жилое;8 130 511 65 68;сдается;08.08.2021
6463;с. Белорецк, ш. 9 мая, д. 95 стр. 9, 008223;квартира;151;3471921;1;жилое;8 (047) 634-10-16;зарезервирован;19.06.2023
6464;д. Бомнак, ул. Путейская, д. 74 к. 891, 085336;квартира;20;11350819;1;жилое;77993903791;сдается;09.11.2020
6465;к. Неплюевка, пр. Троицкий, д. 4 стр. 610, 844575;квартира;177;2844876;5;новостройка;83 130 359 606;сдается;20.11.2021
6466;п. Шамары, наб. Коммунаров, д. 4 стр. 45, 288333;земельный участок;101;8564853;5;жилое;88222477775;зарезервирован;24.03.2023
6467;клх Новомичуринск, алл. Проточная, д. 4 к. 5/6, 404400;квартира;149;11499208;5;требует ремонта;8 (517) 246-5207;сдается;04.12.2021
6468;клх Тюмень, наб. Большая, д. 5 к. 99, 150546;дом;77;18122475;1;новостройка;8 (772) 523-89-77;зарезервирован;04.04.2023
6469;к. Чебоксары, ул. Украинская, д. 46, 122750;дом;146;3454538;4;требует ремонта;8 (179) 830-37-73;продается;01.12.2021
6470;к. Находка, наб. Фестивальная, д. 765, 709141;дом;122;4581367;3;новостройка;85 434 513 816;зарезервирован;26.06.2022
6471;к. Гагарин, алл. Юности, д. 91 стр. 5, 690645;квартира;47;14124307;5;требует ремонта;+7 (033) 211-70-03;продается;13.03.2022
6472;д. Ершов, ш. Байкальское, д. 47 к. 152, 919612;земельный участок;161;16758048;2;жилое;8 (545) 578-02-83;зарезервирован;09.08.2021
6473;клх Зеленоград, наб. Крайняя, д. 3/5, 746615;земельный участок;92;10086586;1;требует ремонта;73764954435;зарезервирован;05.09.2021
6474;г. Кудымкар, алл. Интернациональная, д. 9/1, 165364;дом;20;16217555;4;жилое;74 247 625 543;зарезервирован;01.07.2023
6475;с. Артем, пер. Белорусский, д. 892 к. 27, 668097;дом;108;2053184;4;новостройка;79 605 333 312;сдается;07.07.2021
6476;к. Инта, наб. Хуторская, д. 196, 886590;земельный участок;198;10659158;3;новостройка;81 064 301 413;сдается;27.10.2021
6477;клх Казань, пер. Лермонтова, д. 2 стр. 9, 303755;дом;197;12286430;2;жилое;8 (925) 782-97-72;зарезервирован;16.04.2021
6478;д. Можайск, алл. Приозерная, д. 2/1 стр. 3, 216210;земельный участок;187;1121597;5;жилое;8 (812) 597-5055;зарезервирован;05.12.2022
6479;г. Зеленогорск (Ленин.), ш. Свободное, д. 547 стр. 66, 029851;дом;53;1228816;2;требует ремонта;83 598 073 825;зарезервирован;22.06.2021
6480;д. Талдом, алл. Рябиновая, д. 5/3 к. 922, 354914;земельный участок;50;2551154;4;новостройка;81 825 064 615;зарезервирован;02.01.2021
6481;г. Качканар, пер. Азовский, д. 1 к. 51, 173274;земельный участок;54;14251775;2;жилое;87 380 868 704;продается;27.06.2023
6482;с. Тулун, ш. Бульварное, д. 564, 873410;квартира;143;4722331;5;требует ремонта;8 717 144 05 38;зарезервирован;31.03.2021
6483;ст. Кущевская, ш. Ивановское, д. 8 стр. 68, 160258;земельный участок;179;6637025;2;требует ремонта;+7 (005) 875-6710;зарезервирован;13.11.2021
6484;с. Бугуруслан, бул. Маркса, д. 7 стр. 350, 766495;земельный участок;187;10558929;2;требует ремонта;83113580461;сдается;27.07.2020
6485;с. Новгород Великий, ш. Медицинское, д. 5/8 стр. 1, 424020;земельный участок;100;2378480;4;требует ремонта;+7 (610) 202-7686;зарезервирован;13.10.2021
6486;к. Якша, ул. Советская, д. 37, 208395;квартира;167;4298306;1;новостройка;8 (478) 240-51-29;зарезервирован;09.02.2021
6487;д. Корсаков, пр. Поселковый, д. 93 стр. 3, 528526;квартира;172;15580072;1;жилое;76685841870;сдается;16.01.2022
